Fabricante;Descrição;Preço revenda;revenda c/ IPI
5L500;BATERIA DE LITIO NAO RECARREGAVEL;2.542,87;2.790,80
3L960;BATERIA DE NIMH INTERNA RECARREGAVEL;2.643,83;2.901,60
AM1000;BATERIA LIMNO2 12 VOLT;4.668,89;5.124,11
5931-A;BATERIA NICD 12 VOLT 1.9 AH;2.406,52;2.641,15
CA20-006;ADAPTADOR TUBO ADT PDT CAPNOGRAFIA TIPO T;26,82;27,17
CA10-001;ADAPTADOR TUBO ADULTO CAPNOGRAFIA MAIN-STREAM;67,05;67,93
106260;ADAPTADOR TUBO INFANTIL CAPNOGRAFIA MAINSTREAM;139,15;140,96
CA10-002;ADAPTADOR TUBO INFANTIL/NEONATAL CAPNOGRAFIA MAINSTREAM;43,51;44,08
XS-04479;ADAPTADOR TUBO NEONATAL 3.0 CAPNOGRAFIA;50,00;50,65
XS-04480;ADAPTADOR TUBO NEONATAL 3.5 CAPNOGRAFIA;50,00;50,65
XS-04481;ADAPTADOR TUBO NEONATAL 4.0 CAPNOGRAFIA;50,00;50,65
001.008.00003;FILTRO DE BACTERIA PARA ADAPTADOR TUBO ANALISE GASES;51,63;52,30
CA20-014;LINHA COM ADAPTADOR TUBO ADT PDT MICROSTREAM COMP ORIDION 2M;83,50;84,58
11996-000080;LINHA COM ADAPTADOR TUBO ADULTO PEDIATRICO MICROSTREAM;288,53;303,53
11996-000001;LINHA COM ADAPTADOR TUBO INFANTIL NEONATAL MICROSTREAM;268,39;282,35
CA20-004;LINHA DE AMOSTRAGEM ADT PDT MACHO MACHO 2,5 M;37,53;38,02
CA20-007;LINHA DE AMOSTRAGEM MACHO COM ADAPTADOR TUBO ADULTO;48,77;49,41
CA20-001;LINHA NASAL ADULTO MACHO 2M;69,06;69,96
XS-04475;LINHA NASAL PEDIATRICA MICROSTREAM;65,09;65,94
RE-WT002A;WATER TRAP ADT PDT COMPATÍVEL MINDRAY BENEVISION BENEVIEW;110,20;111,63
